city,lng,lat
河北省-保定市,115.4948102,38.88656455
河北省-唐山市,118.1834506,39.65053092
河北省-廊坊市,116.7036022,39.51861063
河北省-张家口市,114.8937815,40.81118849
河北省-承德市,117.9338225,40.99252105
河北省-沧州市,116.8638065,38.29761535
河北省-石家庄市,114.5220818,38.04895831
河北省-秦皇岛市,119.6043676,39.94546157
河北省-衡水市,115.6862287,37.74692905
河北省-邢台市,114.5204868,37.0695312
河北省-邯郸市,114.4826939,36.60930793
河南省-三门峡市,111.1812621,34.78331994
河南省-信阳市,114.085491,32.12858231
河南省-南阳市,112.5428419,33.01141957
河南省-周口市,114.6541019,33.62374082
河南省-商丘市,115.6418857,34.43858864
河南省-安阳市,114.3518065,36.11026672
河南省-平顶山市,113.300849,33.74530146
河南省-开封市,114.3516421,34.80185418
河南省-新乡市,113.9126902,35.30725756
河南省-洛阳市,112.4475248,34.65736782
河南省-漯河市,114.0460614,33.57627869
河南省-濮阳市,115.0266274,35.75329789
河南省-焦作市,113.2118359,35.23460756
河南省-省直辖,113.4868041,34.15718377
河南省-许昌市,113.8353125,34.02673959
河南省-郑州市,113.6496439,34.75661006
河南省-驻马店市,114.0491535,32.98315815
河南省-鹤壁市,114.2977698,35.75542587
浙江省-丽水市,119.9295758,28.45629955
浙江省-台州市,121.4406129,28.66828329
浙江省-嘉兴市,120.7604277,30.77399224
浙江省-宁波市,121.579006,29.88525897
浙江省-杭州市,120.2193754,30.25924446
浙江省-温州市,120.6906347,28.00283759
浙江省-湖州市,120.1372432,30.87792516
浙江省-绍兴市,120.5924674,30.00236458
浙江省-舟山市,122.1698721,30.0360103
浙江省-衢州市,118.8758417,28.95691045
浙江省-金华市,119.6525757,29.10289911
海南省-三亚市,109.5227713,18.25777591
海南省-三沙市,112.3503831,16.84006289
海南省-海口市,110.3308018,20.02207128
海南省-省直辖,109.7337555,19.1805008
湖北省-十堰市,110.8012289,32.63699434
湖北省-咸宁市,114.3000606,29.88065676
湖北省-孝感市,113.9357344,30.92795478
湖北省-宜昌市,111.3109811,30.73275782
湖北省-恩施土家族苗族自治州,109.4919233,30.28588832
湖北省-武汉市,114.3162001,30.58108413
湖北省-省直辖,112.4105622,31.20931625
湖北省-荆州市,112.2418658,30.33259052
湖北省-荆门市,112.2173303,31.0426112
湖北省-襄阳市,112.2500928,32.22916859
湖北省-鄂州市,114.895594,30.38443932
湖北省-随州市,113.3793584,31.71785761
湖北省-黄冈市,114.906618,30.44610894
湖北省-黄石市,115.0506832,30.21612713
湖南省-娄底市,111.9963964,27.7410733
湖南省-岳阳市,113.1461955,29.37800708
湖南省-常德市,111.6537181,29.01214886
湖南省-张家界市,110.4816202,29.12488935
湖南省-怀化市,109.9869588,27.5574829
湖南省-株洲市,113.1316953,27.82743293
湖南省-永州市,111.6146477,26.43597165
湖南省-湘潭市,112.9355556,27.83509505
湖南省-湘西土家族苗族自治州,109.7457458,28.31795079
湖南省-益阳市,112.3665466,28.58808778
湖南省-衡阳市,112.5838188,26.89816442
湖南省-邵阳市,111.4615254,27.23681124
湖南省-郴州市,113.0377045,25.78226398
湖南省-长沙市,112.9793528,28.21347823
澳门特别行政区-无堂区划分区域,113.5575191,22.20411799
澳门特别行政区-澳门半岛,113.5664323,22.19500416
澳门特别行政区-澳门离岛,113.5575191,22.20411799
甘肃省-临夏回族自治州,103.2152492,35.59851435
甘肃省-兰州市,103.8233054,36.06422553
甘肃省-嘉峪关市,98.28163459,39.80239733
甘肃省-天水市,105.7369316,34.58431942
甘肃省-定西市,104.6266376,35.58605624
甘肃省-平凉市,106.6889112,35.55011019
甘肃省-庆阳市,107.6442271,35.72680075
甘肃省-张掖市,100.4598919,38.9393203
甘肃省-武威市,102.6401473,37.93317214
甘肃省-甘南藏族自治州,102.9174425,34.99221118
甘肃省-白银市,104.1712409,36.54668171
甘肃省-酒泉市,98.50841451,39.74147377
甘肃省-金昌市,102.2081263,38.5160718
甘肃省-陇南市,104.9345734,33.39447997
福建省-三明市,117.6421939,26.27083528
福建省-南平市,118.1818829,26.64362647
福建省-厦门市,118.103886,24.48923061
福建省-宁德市,119.5420822,26.65652742
福建省-泉州市,118.6003623,24.90165238
福建省-漳州市,117.6762047,24.51706478
福建省-福州市,119.3302211,26.0471255
福建省-莆田市,119.077731,25.44845014
福建省-龙岩市,117.0179967,25.07868543
西藏自治区-山南地区,91.75064387,29.22902693
西藏自治区-拉萨市,91.1118909,29.66255706
西藏自治区-日喀则地区,88.89148557,29.2690232
西藏自治区-昌都地区,97.18558158,31.14057563
西藏自治区-林芝地区,94.34998546,29.66694063
西藏自治区-那曲地区,92.06701837,31.48067983
西藏自治区-阿里地区,81.10766869,30.40455659
贵州省-六盘水市,104.8520868,26.59186606
贵州省-安顺市,105.92827,26.22859458
